Geo Point;Bezeichnung;Kategorie
47.410675441626175,9.334666884378457;Kindergarten Alpsteinstrasse 7 I;Kindergarten
47.433047050416505,9.379621860961253;Kindergarten Goethestrasse;Kindergarten
47.40925754716589,9.362897698635045;Kindergarten Guggerstrasse;Kindergarten
47.40166031731929,9.300475715903563;Kindergarten Herisauer Strasse 88a;Kindergarten
47.40342469091043,9.326547752923837;Kindergarten Hinterberg I;Kindergarten
47.40351462153536,9.314875299594604;Kindergarten Koblerstrasse;Kindergarten
47.42639455089094,9.363243561765955;Kindergarten Dietlistrasse;Kindergarten
47.418336212735895,9.381841494945679;Kindergarten Hebelstrasse;Kindergarten
47.42055731042134,9.352014151160486;Kindergarten Isenringweg;Kindergarten
47.42568827631028,9.384171839744278;Kindergarten Konkordiastrasse;Kindergarten
47.43048469118142,9.390863782194035;Kindergarten Rorschacher Strasse;Kindergarten
47.43650020488017,9.375405256719766;Kindergarten Waldgutstrasse 6a I;Kindergarten
47.4018446747568,9.298787086519633;Schulhaus Kreuzbühl;Primarschule
47.442492511904085,9.411345774102104;Schulpavillon Oberzil;Primarschule
47.41727675621406,9.38331174420449;Schulhaus Hebel St. Georgen;Primarschule
47.433939488853206,9.397684016540532;Schulhaus Krontal;Primarschule
47.44166651272329,9.410489559371586;Schulhaus Oberzil;Primarschule
47.429914300921595,9.381477139404595;Schulhaus Spelterini;Primarschule
47.42075010781972,9.368859686602041;Schulhaus St. Leonhard;Primarschule
47.40320633257432,9.334061586384845;Schulhaus Boppartshof;Primarschule
47.41209408006543,9.332902266215152;Schulhaus Engelwies Primarschule;Primarschule
47.42958641386886,9.396466239837212;Schulhaus Grossacker;Primarschule
47.43733528707581,9.390386406198248;Schulhaus Heimat;Primarschule
47.40442846299212,9.31762878950682;Schulhaus Hof;Primarschule
47.436877137461494,9.376293597967683;Schulhaus Rotmonten;Primarschule
47.415166780840536,9.38887919239389;Schulhaus Bach;Primarschule
47.421763984580515,9.35160234696403;Schulhaus Feldli;Primarschule
47.41704580553458,9.349934343401204;Schulhaus Schönenwegen;Primarschule
47.43684307332708,9.393014004426574;Schulhaus Buchwald;Primarschule
47.43813931905012,9.38600768357553;Schulhaus Gerhalden;Primarschule
47.43458997295094,9.411455943598726;Schulhaus Halden;Primarschule
47.4112171875442,9.365049163616517;Schulhaus RiethÃ¼sli;Primarschule
47.42421668517838,9.359793748262554;Schulhaus Schoren;Primarschule
47.41702975599528,9.34725086865199;Oberstufenschulhaus Schoenau;Obersufenschulhaus
47.445074561078805,9.41008755156125;Oberstufenschulhaus Zil;Obersufenschulhaus
47.42823296547016,9.379145736308873;Oberstufenschulhaus Blumenau;Obersufenschulhaus
47.422381, 9.370468;Migros supermarket;Supermarkt
47.422323, 9.368839;Coop Supermarkt St. Gallen Bahnhof;Supermarkt
47.412540, 9.336661;Coop Supermarkt St. Gallen Lerchenfeld;Supermarkt
47.424321, 9.374097;Coop Supermarkt St. Gallen Neugasse;Supermarkt
47.413811, 9.339788;Lidl Schweiz;Supermarkt
47.422063, 9.369758;ALDI SUISSE;Supermarkt
47.421693, 9.372049;Denner Discount;Supermarkt
47.422533, 9.371720;Coop Pronto Shop;Supermarkt
47.424234, 9.371277;Avec;Supermarkt
47.425540, 9.374426;migrolino fresh St. Gallen Union;Supermarkt
47.426326, 9.376878;Coop Supermarkt City St. Gallen Food;Supermarkt
47.430694, 9.394907;Denner Discount;Supermarkt
47.435588, 9.386412;Denner Discount;Supermarkt
47.435989, 9.392000;Migros supermarket;Supermarkt
47.435046, 9.402225;migrolino St. Gallen Rorschacherstrasse;Supermarkt
47.416102, 9.345038;migrolino St. Gallen Zürcherstrasse;Supermarkt
47.411820, 9.336315;migrolino St. Gallen Erlach;Supermarkt
